"Name","Product_Group__c","Cost_Category__c","Cost_Type__c","ProductCode","Unique_ProductCode__c","IsActive","Product_Category__c","Manual_Processing__c","Product_Name_EN__c"
"hintaparametri MALLI 3 väliseinä E30","LG","FactoryPurchase","tuotteet","LG-PD9340010","LGPD9340010","true","Product Options","false",""
"Price parameter Övre droppbleck, löpmeter med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002022","LGPD9002022","true","Product Options","false",""
"Price parameter Nedre droppbleck, löpmeter med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002023","LGPD9002023","true","Product Options","false",""
"Price parameter F- lister, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002024","LGPD9002024","true","Product Options","false",""
"hintaparametri MALLI 4 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350011","LGPD9350011","true","Product Options","false",""
"hintaparametri MALLI 5 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350012","LGPD9350012","true","Product Options","false",""
"hintaparametri MALLI 6 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350013","LGPD9350013","true","Product Options","false",""
"hintaparametri MALLI 7 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350014","LGPD9350014","true","Product Options","false",""
"hintaparametri MALLI 8 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350015","LGPD9350015","true","Product Options","false",""
"hintaparametri MALLI 9 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350016","LGPD9350016","true","Product Options","false",""
"hintaparametri Umpiosa EI30","LG","FactoryPurchase","tuotteet","LG-PD9350017","LGPD9350017","true","Product Options","false",""
"hintaparemetri JAKO_JM    kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310001","LGPD9310001","true","Product Options","false",""
"hintaparemetri KEHA_JM  kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310002","LGPD9310002","true","Product Options","false",""
"hintaparemetri PINTA_ALA kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310003","LGPD9310003","true","Product Options","false",""
"hintaparemetri malli_1  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310004","LGPD9310004","true","Product Options","false",""
"hintaparemetri malli_2  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310005","LGPD9310005","true","Product Options","false",""
"hintaparemetri malli_3  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310006","LGPD9310006","true","Product Options","false",""
"hintaparemetri malli_4  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310007","LGPD9310007","true","Product Options","false",""
"hintaparemetri malli_5  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310008","LGPD9310008","true","Product Options","false",""
"hintaparemetri malli_6  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310009","LGPD9310009","true","Product Options","false",""
"hintaparemetri malli_7  Kehyslasi","LG","FactoryPurchase","tuotteet","LG-PD9310010","LGPD9310010","true","Product Options","false",""
"hintaparemetri  MALLI yht kpl kehyslasi asennus","LG","Wages","asennus","LG-PD9310011","LGPD9310011","true","Product Options","false",""
"Price parameter AL-rör 60x40x2,5","LG","FactoryPurchase","tuotteet","LG-PD9002019","LGPD9002019","true","Product Options","false",""
"Price parameter AL-rör 50x50x4","LG","FactoryPurchase","tuotteet","LG-PD9002020","LGPD9002020","true","Product Options","false",""
"Price parameter Vinkelplåtar, löpmeter med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002021","LGPD9002021","true","Product Options","false",""
"Price parameter H-lister, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002025","LGPD9002025","true","Product Options","false",""
"Price parameter AL-rör 100 x 60 x 5, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002026","LGPD9002026","true","Product Options","false",""
"Price parameter AL-rör 70 x 70 x 3,5, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002027","LGPD9002027","true","Product Options","false",""
"Price parameter AL-rör 60 x 40 x 2,5, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002028","LGPD9002028","true","Product Options","false",""
"Price parameter AL-rör 50 x 50 x 4, 2000mm med lackering","LG","FactoryPurchase","tuotteet","LG-PD9002029","LGPD9002029","true","Product Options","false",""
"Price parameter Demontering av inglasning","LG","Wages","asennus","LG-PD9002030","LGPD9002030","true","Product Options","false",""
"Hintaparametri muumyynti","LG","FactoryPurchase","tuotteet","LG-PD90990010","LGPD90990010","true","Product Options","false",""
"Hintaparametri muumyynti asennuskuormitus","LG","Manhours","askuormitu","LG-PD90990011","LGPD90990011","true","Services","false",""
"Hintaparametri Muumyynti2","LG","FactoryPurchase","tuotteet","LG-PD90990012","LGPD90990012","true","Product Options","false",""
"Hintaparametri Muumyynti3","LG","FactoryPurchase","tuotteet","LG-PD90990013","LGPD90990013","true","Product Options","false",""
"Hintaparametri HR3_maalauslisä VS EI30","LG","FactoryPurchase","tuotteet","LG-PD9350002","LGPD9350002","true","Product Options","false",""
"Hintaparametri HR4_maalauslisä VS EI30","LG","FactoryPurchase","tuotteet","LG-PD9350003","LGPD9350003","true","Product Options","false",""
"Hintaparametri HR5_maalauslisä VS EI30","LG","FactoryPurchase","tuotteet","LG-PD9350004","LGPD9350004","true","Product Options","false",""
"hintaparametri JAKO_JM  väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350005","LGPD9350005","true","Product Options","false",""
"hintaparametri KEHA_JM väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350006","LGPD9350006","true","Product Options","false",""
"hintaparametri PINTA_ALA  väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350007","LGPD9350007","true","Product Options","false",""
"hintaparametri MALLI 1 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350008","LGPD9350008","true","Product Options","false",""
"hintaparametri MALLI 2 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350009","LGPD9350009","true","Product Options","false",""
"hintaparametri MALLI 3 väliseinä EI30","LG","FactoryPurchase","tuotteet","LG-PD9350010","LGPD9350010","true","Product Options","false",""
"hintaparametri Pyrostop 30-20,-6RST EI30 31mm","LG","FactoryPurchase","tuotteet","LG-PD9350018","LGPD9350018","true","Product Options","false",""
"hintaparametri Pyrobel 16 EG2, EI30 25mm","LG","FactoryPurchase","tuotteet","LG-PD9350019","LGPD9350019","true","Product Options","false",""
"LAMI 5ka+5ka IG-09 Dark brown GROOVE","LG","FactoryPurchase","tuotteet","LG-23952306","LG23952306","true","Product Options","false","LAMI 5ka+5ka IG-09 Dark brown GROOVE"
"LAMI 5ka+5ka IG-28 Mid brown GROOVE","LG","FactoryPurchase","tuotteet","LG-23952307","LG23952307","true","Product Options","false","LAMI 5ka+5ka IG-28 Mid brown GROOVE"
"LAMI 5ka+5ka IG-55 Light brown GROOVE","LG","FactoryPurchase","tuotteet","LG-23952308","LG23952308","true","Product Options","false","LAMI 5ka+5ka IG-55 Light brown GROOVE"
"LAMI 5ka+5ka IG-50 Opal+Green GROOVE","LG","FactoryPurchase","tuotteet","LG-23952309","LG23952309","true","Product Options","false","LAMI 5ka+5ka IG-50 Opal+Green GROOVE"
"LAMI 5ka+5ka IG-56 2xGreen GROOVE","LG","FactoryPurchase","tuotteet","LG-23952310","LG23952310","true","Product Options","false","LAMI 5ka+5ka IG-56 2xGreen GROOVE"
"LAMI 5ka+5ka IG-73 Green GROOVE","LG","FactoryPurchase","tuotteet","LG-23952312","LG23952312","true","Product Options","false","LAMI 5ka+5ka IG-73 Green GROOVE"
"LAMI 5ka+5ka IG-88 Clear GROOVE","LG","FactoryPurchase","tuotteet","LG-23952314","LG23952314","true","Product Options","false","LAMI 5ka+5ka IG-88 Clear GROOVE"
"LAMI 5ka+5ka Opal IG 65 GROOVE","LG","FactoryPurchase","tuotteet","LG-23952316","LG23952316","true","Product Options","false","LAMI 5ka+5ka Opal IG 65 GROOVE"
"LAMI 5ka+5ka IG-80 Light opal GROOVE","LG","FactoryPurchase","tuotteet","LG-23952317","LG23952317","true","Product Options","false","LAMI 5ka+5ka IG-80 Light opal GROOVE"
