"Country_Code__c","Postal_Code__c","Sunday__c","Monday__c","Tuesday__c","Wednesday__c","Thursday__c","Friday__c","Saturday__c","Delivery_Duration__c","Cargo_Multiplier__c"
"FI","174","false","false","false","true","false","false","false","1","1"
"FI","175","false","false","false","true","false","false","false","1","1"
"FI","176","false","false","false","true","false","false","false","1","1"
"FI","177","false","false","false","true","false","false","false","1","1"
"FI","178","false","false","false","true","false","false","false","1","1"
"FI","179","false","false","false","true","false","false","false","1","1"
"FI","18","false","false","false","true","false","false","false","1","1"
"FI","191","false","false","false","true","false","false","false","1","1"
"FI","192","false","false","false","true","false","false","false","1","1"
"FI","193","false","false","false","true","false","false","false","1","1"
"FI","194","false","false","false","true","false","false","false","1","1"
"FI","195","false","false","false","true","false","false","false","1","1"
"FI","196","false","false","false","true","false","false","false","1","1"
"FI","197","false","false","false","true","false","false","false","1","1"
"FI","198","false","false","false","true","false","false","false","1","1"
"FI","199","false","false","false","true","false","false","false","1","1"
"FI","20","false","true","false","false","false","true","false","1","1"
"FI","214","false","true","false","false","false","false","false","1","1"
"FI","211","false","true","false","false","false","false","false","1","1"
"FI","212","false","true","false","false","false","false","false","1","1"
"FI","213","false","true","false","false","false","false","false","1","1"
"FI","215","false","false","false","false","false","true","false","1","1"
"FI","216","false","false","false","false","false","true","false","1","1"
"FI","217","false","false","false","false","false","true","false","1","1"
"FI","218","false","true","false","false","false","false","false","1","1"
"FI","219","false","true","false","false","false","false","false","1","1"
"FI","22","false","true","true","true","true","true","false","2","1"
"FI","231","false","true","false","false","false","false","false","1","1"
"FI","23100","false","true","false","false","false","false","false","1","1"
"FI","232","false","true","false","false","false","false","false","1","1"
"FI","233","false","true","false","false","false","false","false","1","1"
"FI","234","false","true","false","false","false","false","false","1","1"
"FI","235","false","true","false","false","false","false","false","1","1"
"FI","236","false","true","false","false","false","false","false","1","1"
"FI","237","false","true","false","false","false","false","false","1","1"
"FI","238","false","true","false","false","false","false","false","1","1"
"FI","239","false","true","false","false","false","false","false","1","1"
"FI","241","false","true","false","false","false","true","false","1","1"
"FI","242","false","true","false","false","false","true","false","1","1"
"FI","243","false","true","false","false","false","true","false","1","1"
"FI","244","false","true","false","false","false","true","false","1","1"
"FI","245","false","true","false","false","false","true","false","1","1"
"FI","246","false","true","false","false","false","true","false","1","1"
"FI","247","false","true","false","false","false","true","false","1","1"
"FI","248","false","true","false","false","false","true","false","1","1"
"FI","249","false","true","false","false","false","true","false","1","1"
"FI","250","false","true","false","false","false","true","false","1","1"
"FI","251","false","true","false","false","false","true","false","1","1"
"FI","252","false","true","false","false","false","true","false","1","1"
"FI","253","false","true","false","false","false","true","false","1","1"
"FI","254","false","true","false","false","false","true","false","1","1"
"FI","255","false","true","false","false","false","true","false","1","1"
"FI","256","false","true","false","false","false","true","false","1","1"
"FI","257","false","true","false","false","false","true","false","1","1"
"FI","258","false","true","false","false","false","true","false","1","1"
"FI","259","false","true","false","false","false","true","false","1","1"
"FI","261","false","true","false","false","false","false","false","1","1"
"FI","262","false","true","false","false","false","false","false","1","1"
"FI","263","false","true","false","false","false","false","false","1","1"
"FI","264","false","true","false","false","false","false","false","1","1"
"FI","265","false","true","false","false","false","false","false","1","1"
"FI","266","false","true","false","false","false","false","false","1","1"
"FI","270","false","true","false","false","false","false","false","1","1"
"FI","267","false","true","false","false","false","false","false","1","1"
"FI","268","false","true","false","false","false","false","false","1","1"
"FI","269","false","true","false","false","false","false","false","1","1"
"FI","271","false","true","false","false","false","false","false","1","1"
"FI","272","false","true","false","false","false","false","false","1","1"
"FI","273","false","true","false","false","false","false","false","1","1"
"FI","274","false","true","false","false","false","false","false","1","1"
"FI","275","false","true","false","false","false","false","false","1","1"
"FI","276","false","true","false","false","false","false","false","1","1"
"FI","277","false","true","false","false","false","false","false","1","1"
"FI","278","false","true","false","false","false","false","false","1","1"
"FI","279","false","true","false","false","false","false","false","1","1"
"FI","281","false","false","true","false","false","false","false","1","1"
"FI","282","false","false","true","false","false","false","false","1","1"
"FI","283","false","false","true","false","false","false","false","1","1"
"FI","284","false","false","true","false","false","false","false","1","1"
"FI","285","false","false","true","false","false","false","false","1","1"
"FI","286","false","false","true","false","false","false","false","1","1"
"FI","287","false","false","true","false","false","false","false","1","1"
"FI","288","false","false","true","false","false","false","false","1","1"
"FI","289","false","false","true","false","false","false","false","1","1"
"FI","290","false","false","true","false","false","false","false","1","1"
"FI","291","false","false","true","false","false","false","false","1","1"
"FI","292","false","false","true","false","false","false","false","1","1"
"FI","293","false","false","true","false","false","false","false","1","1"
"FI","294","false","false","true","false","false","false","false","1","1"
"FI","295","false","false","true","false","false","false","false","1","1"
"FI","296","false","false","true","false","false","false","false","1","1"
"FI","297","false","false","true","false","false","false","false","1","1"
"FI","298","false","false","true","false","false","false","false","1","1"
"FI","299","false","false","true","false","false","false","false","1","1"
"FI","301","false","true","false","false","false","false","false","1","1"
"FI","302","false","true","false","false","false","false","false","1","1"
"FI","303","false","true","false","false","false","false","false","1","1"
"FI","304","false","true","false","false","false","false","false","1","1"
"FI","305","false","true","false","false","false","false","false","1","1"
"FI","306","false","true","false","false","false","false","false","1","1"
"FI","307","false","true","false","false","false","false","false","1","1"
"FI","308","false","true","false","false","false","false","false","1","1"
"FI","309","false","true","false","false","false","false","false","1","1"
"FI","310","false","true","false","false","false","false","false","1","1"
"FI","311","false","true","false","false","false","false","false","1","1"
"FI","312","false","true","false","false","false","false","false","1","1"
"FI","313","false","true","false","false","false","false","false","1","1"
"FI","317","false","true","false","false","false","false","false","1","1"
"FI","314","false","true","false","false","false","false","false","1","1"
"FI","315","false","true","false","false","false","false","false","1","1"
"FI","316","false","true","false","false","false","false","false","1","1"
"FI","318","false","true","false","false","false","false","false","1","1"
"FI","319","false","true","false","false","false","false","false","1","1"
"FI","321","false","true","false","false","false","false","false","1","1"
"FI","322","false","true","false","false","false","false","false","1","1"
"FI","323","false","true","false","false","false","false","false","1","1"
"FI","324","false","false","true","false","false","false","false","1","1"
"FI","325","false","false","true","false","false","false","false","1","1"
"FI","326","false","false","true","false","false","false","false","1","1"
"FI","327","false","false","true","false","false","false","false","1","1"
"FI","328","false","false","true","false","false","false","false","1","1"
"FI","329","false","false","true","false","false","false","false","1","1"
"FI","331","false","true","true","true","true","false","false","1","1"
"FI","332","false","true","true","true","true","false","false","1","1"
"FI","333","false","true","true","true","true","false","false","1","1"
"FI","337","false","true","true","true","true","false","false","1","1"
"FI","334","false","true","true","true","true","false","false","1","1"
"FI","335","false","true","true","true","true","false","false","1","1"
"FI","336","false","true","true","true","true","false","false","1","1"
"FI","338","false","true","true","true","true","false","false","1","1"
"FI","339","false","true","true","true","true","false","false","1","1"
"FI","341","false","false","false","false","true","false","false","1","1"
"FI","342","false","false","false","false","true","false","false","1","1"
"FI","343","false","false","false","false","true","false","false","1","1"
"FI","344","false","false","false","false","true","false","false","1","1"
"FI","345","false","false","false","false","true","false","false","1","1"
"FI","346","false","false","false","false","true","false","false","1","1"
"FI","347","false","false","false","false","true","false","false","1","1"
"FI","348","false","false","false","false","true","false","false","1","1"
"FI","349","false","false","false","false","true","false","false","1","1"
"FI","35","false","false","false","false","true","false","false","1","1"
"FI","37","false","false","false","true","false","false","false","1","1"
"FI","39","false","false","false","false","true","false","false","1","1"
"FI","361","false","true","true","true","true","false","false","1","1"
"FI","362","false","true","true","true","true","false","false","1","1"
"FI","363","false","true","true","true","true","false","false","1","1"
"FI","364","false","false","false","false","true","false","false","1","1"
"FI","365","false","false","false","false","true","false","false","1","1"
"FI","366","false","false","false","false","true","false","false","1","1"
"FI","367","false","false","false","false","true","false","false","1","1"
"FI","368","false","false","false","false","true","false","false","1","1"
"FI","369","false","false","false","false","true","false","false","1","1"
"FI","381","false","false","true","false","false","false","false","1","1"
"FI","382","false","false","true","false","false","false","false","1","1"
"FI","383","false","false","true","false","false","false","false","1","1"
"FI","384","false","false","false","false","true","false","false","1","1"
"FI","385","false","false","false","false","true","false","false","1","1"
"FI","386","false","false","false","false","true","false","false","1","1"
"FI","387","false","false","false","false","true","false","false","1","1"
"FI","388","false","false","false","false","true","false","false","1","1"
"FI","389","false","false","false","false","true","false","false","1","1"
"FI","40","false","false","false","true","false","false","false","1","1"
"FI","411","false","false","false","true","false","false","false","1","1"
"FI","415","false","false","false","true","false","false","false","1","1"
"FI","412","false","false","false","true","false","false","false","1","1"
"FI","413","false","false","false","true","false","false","false","1","1"
"FI","414","false","false","false","true","false","false","false","1","1"
"FI","416","false","false","false","true","false","false","false","1","1"
"FI","417","false","false","false","true","false","false","false","1","1"
"FI","418","false","false","false","true","false","false","false","1","1"
"FI","419","false","false","false","true","false","false","false","1","1"
"FI","420","false","false","false","true","false","false","false","1","1"
"FI","421","false","false","false","true","false","false","false","1","1"
"FI","422","false","false","false","true","false","false","false","1","1"
"FI","423","false","false","false","true","false","false","false","1","1"
"FI","424","false","false","false","true","false","false","false","1","1"
"FI","425","false","false","false","true","false","false","false","1","1"
"FI","426","false","false","false","true","false","false","false","1","1"
"FI","427","false","false","false","true","false","false","false","1","1"
"FI","428","false","false","false","true","false","false","false","1","1"
"FI","429","false","false","false","true","false","false","false","1","1"
"FI","76","false","false","true","false","false","false","false","1","1"
"FI","431","false","false","false","true","false","false","false","1","1"
"FI","432","false","false","false","true","false","false","false","1","1"
"FI","433","false","false","false","true","false","false","false","1","1"
"FI","434","false","false","false","true","false","false","false","1","1"
"FI","435","false","false","false","true","false","false","false","1","1"
"FI","436","false","false","false","true","false","false","false","1","1"
"FI","437","false","false","false","true","false","false","false","1","1"
"FI","438","false","false","false","true","false","false","false","1","1"
"FI","439","false","false","false","true","false","false","false","1","1"
"FI","441","false","false","false","true","false","false","false","1","1"
"FI","442","false","false","false","true","false","false","false","1","1"
"FI","443","false","false","false","true","false","false","false","1","1"
"FI","444","false","false","false","true","false","false","false","1","1"
"FI","45","false","false","true","false","false","false","false","1","1"
"FI","445","false","false","false","true","false","false","false","1","1"
"FI","446","false","false","false","true","false","false","false","1","1"
"FI","447","false","false","false","true","false","false","false","1","1"
"FI","448","false","false","false","true","false","false","false","1","1"
"FI","449","false","false","false","true","false","false","false","1","1"
"FI","461","false","false","true","false","false","false","false","1","1"
"FI","462","false","false","true","false","false","false","false","1","1"
"FI","463","false","false","true","false","false","false","false","1","1"
"FI","464","false","false","true","false","false","false","false","1","1"
"FI","465","false","false","true","false","false","false","false","1","1"
"FI","466","false","false","true","false","false","false","false","1","1"
"FI","467","false","false","true","false","false","false","false","1","1"
"CA","M2","false","true","true","true","true","true","false","1","1"
"CA","L6","false","true","true","true","true","true","false","1","1"
"CA","L6","false","true","true","true","true","true","false","1","1"
"CA","M1","false","true","true","true","true","true","false","1","1"
"CA","M3","false","true","true","true","true","true","false","1","1"
"CA","M4","false","true","true","true","true","true","false","1","1"
"CA","M6","false","true","true","true","true","true","false","1","1"
"CA","M9","false","true","true","true","true","true","false","1","1"
"CA","L1Y","false","true","true","true","true","true","false","1","1"
"CA","L1V","false","true","true","true","true","true","false","1","1"
"CA","L1T","false","true","true","true","true","true","false","1","1"
"CA","L1W","false","true","true","true","true","true","false","1","1"
"CA","L1S","false","true","true","true","true","true","false","1","1"
"CA","L1Z","false","true","true","true","true","true","false","1","1"
"CA","L0N","false","true","true","true","true","true","false","1","1"
"CA","L9R","false","true","true","true","true","true","false","1","1"
"CA","L9S","false","true","true","true","true","true","false","1","1"
"CA","L0E","false","true","true","true","true","true","false","1","1"
"CA","L0C","false","true","true","true","true","true","false","1","1"
"CA","L0B","false","true","true","true","true","true","false","1","1"
"CA","L9V","false","true","true","true","true","true","false","1","1"
"CA","L9W","false","true","true","true","true","true","false","1","1"
"CA","L1","false","true","true","true","true","true","false","1","1"
"CA","L4M","false","true","true","true","true","true","false","1","1"
"CA","L4N","false","true","true","true","true","true","false","1","1"
"CA","L0M","false","true","true","true","true","true","false","1","1"
"CA","L9Y","false","true","true","true","true","true","false","1","1"
"CA","L4R","false","true","true","true","true","true","false","1","1"
"CA","L9M","false","true","true","true","true","true","false","1","1"
"CA","L0K","false","true","true","true","true","true","false","1","1"
"CA","L3V","false","true","true","true","true","true","false","1","1"
"CA","L0L","false","true","true","true","true","true","false","1","1"
"CA","L0A","false","true","true","true","true","true","false","1","1"
"CA","L0B","false","true","true","true","true","true","false","1","1"
"CA","L7E","false","true","true","true","true","true","false","1","1"
"FI","047","false","true","false","false","false","false","false","1","1"
"IT","","false","true","true","true","true","true","false","5","1"
"FI","000","false","true","true","true","true","true","false","1","1"
"BE","","false","false","false","false","true","false","false","5","2"
"ES","29004","false","true","false","false","false","false","false","6","1"
"ES","28925","false","true","false","false","false","false","false","6","1"
"MT","","false","true","false","false","false","false","false","5","4"
"FI","93930","false","true","false","false","false","false","false","3","3"
"ES","29680","false","true","false","false","false","false","false","6","1"
"SE","433","false","true","false","false","false","false","false","2","2"
"FI","472","false","false","true","false","false","false","false","1","1"
"FI","468","false","false","true","false","false","false","false","1","1"
"FI","469","false","false","true","false","false","false","false","1","1"
"FI","471","false","false","true","false","false","false","false","1","1"
"FI","473","false","false","true","false","false","false","false","1","1"
"FI","474","false","false","true","false","false","false","false","1","1"
"FI","475","false","false","true","false","false","false","false","1","1"
"FI","476","false","false","true","false","false","false","false","1","1"
"FI","477","false","false","true","false","false","false","false","1","1"
"FI","478","false","false","true","false","false","false","false","1","1"
"FI","479","false","false","true","false","false","false","false","1","1"
"FI","48","false","false","true","false","false","false","false","1","1"
"FI","49","false","false","true","false","false","false","false","1","1"
"FI","50","false","false","true","false","false","false","false","1","1"
"FI","511","false","false","true","false","false","false","false","1","1"
"FI","512","false","false","true","false","false","false","false","1","1"
"FI","513","false","false","true","false","false","false","false","1","1"
"FI","90","false","false","false","true","false","false","false","3","1"
"FI","89","false","false","false","false","true","false","false","3","1"
"FI","87","false","false","false","true","false","false","false","3","1"
"FI","86","false","false","false","true","false","false","false","3","1"
"FI","85","false","false","false","true","false","false","false","3","1"
"FI","84","false","false","false","true","false","false","false","3","1"
"FI","83","false","false","false","false","false","true","false","3","1"
"FI","82","false","false","false","false","false","true","false","3","1"
"FI","81","false","false","false","false","false","true","false","3","1"
"FI","80","false","false","false","false","false","true","false","3","1"
"FI","514","false","false","true","false","false","false","false","1","1"
"FI","515","false","false","true","false","false","false","false","1","1"
"FI","516","false","false","true","false","false","false","false","1","1"
"FI","517","false","false","true","false","false","false","false","1","1"
"FI","518","false","false","true","false","false","false","false","1","1"
"FI","519","false","false","true","false","false","false","false","1","1"
"FI","521","false","false","true","false","false","false","false","1","1"
"FI","522","false","false","true","false","false","false","false","1","1"
"FI","523","false","false","true","false","false","false","false","1","1"
"FI","524","false","false","true","false","false","false","false","1","1"
"FI","525","false","false","true","false","false","false","false","1","1"
"FI","543","false","true","false","false","false","false","false","1","1"
"FI","526","false","false","true","false","false","false","false","1","1"
"FI","70","false","false","true","false","false","false","false","1","1"
"FI","9","false","false","false","true","false","false","false","3","1"
"ES","","false","false","true","true","false","false","false","6","1"
"FI","015","false","true","true","true","true","true","false","1","1"
"FI","527","false","false","true","false","false","false","false","1","1"
"FI","528","false","false","true","false","false","false","false","1","1"
"FI","529","false","false","true","false","false","false","false","1","1"
"FI","53","false","true","false","false","false","true","false","1","1"
"FI","541","false","true","false","false","false","true","false","1","1"
"FI","65","false","false","false","true","false","false","false","1","1"
"FI","54","false","true","false","false","false","true","false","1","1"
"FI","544","false","true","false","false","false","true","false","1","1"
"FI","542","false","true","false","false","false","true","false","1","1"
"FI","545","false","true","false","false","false","true","false","1","1"
"FI","60","false","false","false","true","false","false","false","1","1"
"FI","61","false","false","false","true","false","false","false","1","1"
"FI","62","false","false","false","true","false","false","false","1","1"
"SE","","false","true","false","false","false","false","false","2","2"
"FI","13","false","false","true","false","false","false","false","1","1"
"FI","69","false","false","false","true","false","false","false","1","1"
"FI","67","false","false","false","true","false","false","false","1","1"
"FI","68","false","false","false","true","false","false","false","1","1"
"FI","55","false","true","false","false","false","true","false","1","1"
"FI","56","false","true","false","false","false","true","false","1","1"
"FI","560","false","true","false","false","false","true","false","1","1"
"FI","57","false","false","false","false","false","true","false","1","1"
"SE","162","false","false","true","false","false","false","false","1","1"
"FI","74","false","false","true","false","false","false","false","1","1"
"FI","7","false","false","true","false","false","false","false","1","1"
"CH","","false","false","false","false","false","true","false","4","4"
"ES","35008","false","false","true","false","false","false","false","5","5"
"FI","59","false","true","false","false","false","true","false","1","1"
"RU","","false","true","false","false","false","false","false","5","3"
"FI","66","false","false","false","true","false","false","false","1","1"
"DE","","false","false","true","false","false","false","false","5","2"
"CA","","false","true","true","true","true","true","false","2","2"
"DK","","false","false","false","false","true","false","false","5","2"
"NL","","false","false","false","true","true","false","false","5","2"
"FR","","false","false","false","false","true","false","false","5","4"
"NO","","false","true","false","false","false","false","false","5","4"
"NO","2013","false","true","false","false","false","false","false","5","3"
"NO","3261","false","true","false","false","false","false","false","5","3"
"PT","","false","false","true","false","false","false","false","5","1"
"FI","88","false","false","false","true","false","false","false","3","1"
"FI","58","false","false","false","false","false","true","false","1","1"
"EE","","false","false","false","true","false","false","false","1","1"
"HR","","false","false","true","false","false","false","false","5","1"
"PL","","false","true","true","true","true","true","false","5","3"
"FI","64","false","false","false","true","false","false","false","1","1"
"FI","0038","false","true","true","true","true","true","false","1","1"
"FI","001","false","true","true","true","true","true","false","1","1"
"FI","002","false","true","true","true","true","true","false","1","1"
"FI","003","false","true","true","true","true","true","false","1","1"
"FI","0039","false","true","true","true","true","true","false","1","1"
"GB","","false","true","true","true","true","true","false","5","4"
"FI","63","false","false","false","true","false","false","false","1","1"
"US","","false","true","true","true","true","true","false","5","4"
"IE","","false","true","true","true","true","true","false","5","5"
"CH","8050","false","false","false","false","false","true","false","4","4"
"FI","0066","false","true","true","true","true","true","false","1","1"
"FI","004","false","true","true","true","true","true","false","1","1"
"FI","005","false","true","true","true","true","true","false","1","1"
"FI","006","false","true","true","true","true","true","false","1","1"
"FI","0067","false","true","true","true","true","true","false","1","1"
"FI","0068","false","true","true","true","true","true","false","1","1"
"FI","0069","false","true","true","true","true","true","false","1","1"
"FI","007","false","true","true","true","true","true","false","1","1"
"FI","008","false","true","true","true","true","true","false","1","1"
"FI","009","false","true","true","true","true","true","false","1","1"
"FI","0099","false","true","true","true","true","true","false","1","1"
"FI","011","false","true","true","true","true","true","false","1","1"
"FI","012","false","true","true","true","true","true","false","1","1"
"FI","013","false","true","true","true","true","true","false","1","1"
"FI","014","false","true","true","true","true","true","false","1","1"
"EE","015","false","false","false","true","false","false","false","1","1"
"FI","016","false","true","true","true","true","true","false","1","1"
"FI","017","false","true","true","true","true","true","false","1","1"
"FI","018","false","false","false","true","false","false","false","1","1"
"FI","019","false","false","false","true","false","false","false","1","1"
"FI","020","false","false","false","false","true","false","false","1","1"
"FI","021","false","false","false","false","true","false","false","1","1"
"FI","022","false","false","false","false","true","false","false","1","1"
"FI","023","false","true","true","true","true","true","false","1","1"
"FI","0239","false","false","false","false","true","false","false","1","1"
"FI","024","false","false","false","false","false","true","false","1","1"
"FI","025","false","false","false","false","false","true","false","1","1"
"FI","026","false","true","true","true","true","true","false","1","1"
"FI","0270","false","false","false","true","false","false","false","1","1"
"FI","0271","false","false","false","true","false","false","false","1","1"
"FI","0272","false","false","false","true","false","false","false","1","1"
"FI","0273","false","false","false","true","false","false","false","1","1"
"FI","0274","false","false","false","false","false","true","false","1","1"
"FI","0275","false","false","false","false","true","false","false","1","1"
"FI","0276","false","false","false","false","true","false","false","1","1"
"FI","0277","false","false","false","false","true","false","false","1","1"
"FI","0278","false","false","false","false","false","true","false","1","1"
"FI","028","false","false","false","false","false","true","false","1","1"
"FI","029","false","false","false","false","false","true","false","1","1"
"FI","0299","false","false","false","false","false","true","false","1","1"
"FI","03","false","true","false","false","false","false","false","1","1"
"FI","031","false","true","false","false","false","false","false","1","1"
"FI","034","false","true","false","false","false","false","false","1","1"
"FI","041","false","true","false","false","false","false","false","1","1"
"FI","042","false","true","false","false","false","false","false","1","1"
"FI","043","false","true","false","false","false","false","false","1","1"
"FI","049","false","true","false","false","false","false","false","1","1"
"GB","","false","true","true","true","true","true","false","5","4"
"CZ","","false","true","true","true","true","true","false","5","1"
"LV","","false","true","true","true","true","true","false","1","1"
"IS","","false","true","false","false","false","false","false","5","10"
"FI","41","false","false","false","true","false","false","false","1","1"
"FI","42","false","false","false","true","false","false","false","1","1"
"FI","43","false","false","false","true","false","false","false","1","1"
"FI","44","false","false","false","true","false","false","false","1","1"
"FI","6","false","false","false","true","false","false","false","1","1"
"CL","","false","true","true","true","true","true","false","10","10"
"SK","","false","false","true","false","false","false","false","5","1"
"CA","V3A","false","true","false","true","false","true","false","4","1"
"CA","V4W","false","true","false","true","false","true","false","4","1"
"CA","V2Y","false","true","false","true","false","true","false","4","1"
"CA","V1M","false","true","false","true","false","true","false","4","1"
"CA","V2Z","false","true","false","true","false","true","false","4","1"
"CA","V3Z","false","true","false","true","false","true","false","4","1"
"CA","V2M","false","true","false","true","false","true","false","4","1"
"CA","V2W","false","true","false","true","false","true","false","4","1"
"CA","V2X","false","true","false","true","false","true","false","4","1"
"CA","V4R","false","true","false","true","false","true","false","4","1"
"CA","V4S","false","true","false","true","false","true","false","4","1"
"CA","V2V","false","true","false","true","false","true","false","4","1"
"CA","V2P","false","true","false","true","false","true","false","4","1"
"CA","V4Z","false","true","false","true","false","true","false","4","1"
